Product Name,Category,Month,Quantity,Original Price,Discounted Price,Seasonal Availability Flag,Health Tag
Apple,Fruits,January,4,240,210,Yes,Healthy
Mango,Fruits,January,3,300,260,No,Healthy
Banana,Fruits,January,6,120,100,Yes,Healthy
Orange,Fruits,January,5,200,180,Yes,Healthy
Potato,Vegetables,January,5,150,130,Yes,Healthy
Tomato,Vegetables,January,4,120,95,Yes,Healthy
Onion,Vegetables,January,3,90,75,Yes,Healthy
Rice,Grains,January,5,300,270,NA,Healthy
Milk,Dairy,January,10,250,230,NA,Healthy
Bread,Bakery,January,2,80,70,NA,Junk
Chips,Snacks,January,2,100,95,NA,Junk
Detergent,Cleaning,January,2,220,200,NA,NA
Apple,Fruits,February,4,240,210,Yes,Healthy
Mango,Fruits,February,3,300,260,No,Healthy
Banana,Fruits,February,6,120,100,Yes,Healthy
Orange,Fruits,February,5,200,180,No,Healthy
Potato,Vegetables,February,5,150,130,Yes,Healthy
Tomato,Vegetables,February,4,120,95,Yes,Healthy
Onion,Vegetables,February,3,90,75,Yes,Healthy
Rice,Grains,February,5,300,270,NA,Healthy
Milk,Dairy,February,10,250,230,NA,Healthy
Bread,Bakery,February,2,80,70,NA,Junk
Cold Drink,Beverages,February,4,160,150,NA,Junk
Shampoo,Personal Care,February,1,220,200,NA,NA
Apple,Fruits,March,4,240,210,No,Healthy
Mango,Fruits,March,3,300,260,Yes,Healthy
Banana,Fruits,March,6,120,100,Yes,Healthy
Orange,Fruits,March,5,200,180,No,Healthy
Potato,Vegetables,March,5,150,130,Yes,Healthy
Tomato,Vegetables,March,4,120,95,No,Healthy
Onion,Vegetables,March,3,90,75,Yes,Healthy
Rice,Grains,March,5,300,270,NA,Healthy
Milk,Dairy,March,10,250,230,NA,Healthy
Bread,Bakery,March,2,80,70,NA,Junk
Biscuits,Snacks,March,3,90,85,NA,Junk
Detergent,Cleaning,March,2,220,200,NA,NA
Apple,Fruits,April,4,240,210,No,Healthy
Mango,Fruits,April,3,300,260,Yes,Healthy
Banana,Fruits,April,6,120,100,Yes,Healthy
Orange,Fruits,April,5,200,180,No,Healthy
Potato,Vegetables,April,5,150,130,No,Healthy
Tomato,Vegetables,April,4,120,95,No,Healthy
Onion,Vegetables,April,3,90,75,Yes,Healthy
Rice,Grains,April,5,300,270,NA,Healthy
Milk,Dairy,April,10,250,230,NA,Healthy
